quotes,authors
"Life is really simple, but we insist on making it complicated.",Confucius
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw
"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",Buddha
"We do not remember days, we remember moments.",Cesare Pavese
Into each life some rain must fall.,Henry Wadsworth Longfellow
"Once you bring life into the world, you must protect it. We must protect it by changing the world.",Elie Wiesel
Life is a series of natural and spontaneous changes. Don't resist them - that only creates sorrow. Let reality be reality. Let things flow naturally forward in whatever way they like.,Lao Tzu
"Not life, but good life, is to be chiefly valued.",Socrates
The most important thing is to enjoy your life - to be happy - it's all that matters.,Audrey Hepburn
"Good friends, good books and a sleepy conscience: this is the ideal life.",Mark Twain
A life is not important except in the impact it has on other lives.,Jackie Robinson
"Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor.",Sholom Aleichem
Every man regards his own life as the New Year's Eve of time.,Jean Paul
"How far you go in life depends on your being tender with the young, compassionate with the aged, sympathetic with the striving and tolerant of the weak and strong. Because someday in your life you will have been all of these.",George Washington Carver
I have a simple philosophy: Fill what's empty. Empty what's full. Scratch where it itches.,Alice Roosevelt Longworth
The true secret of happiness lies in taking a genuine interest in all the details of daily life.,William Morris
The purpose of life is a life of purpose.,Robert Byrne
We live in a rainbow of chaos.,Paul Cezanne
"If you live long enough, you'll make mistakes. But if you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.",William J. Clinton
It takes half your life before you discover life is a do-it-yourself project.,Napoleon Hill
A man who dares to waste one hour of time has not discovered the value of life.,Charles Darwin
Find ecstasy in life; the mere sense of living is joy enough.,Emily Dickinson
All life is an experiment. The more experiments you make the better.,Ralph Waldo Emerson
The most satisfying thing in life is to have been able to give a large part of one's self to others.,Pierre Teilhard de Chardin
"Don't go through life, grow through life.",Eric Butterworth
"We must be willing to let go of the life we have planned, so as to have the life that is waiting for us.",E. M. Forster
Life is a lot like jazz... it's best when you improvise.,George Gershwin
"Throughout life people will make you mad, disrespect you and treat you bad. Let God deal with the things they do, cause hate in your heart will consume you too.",Will Smith
The good life is one inspired by love and guided by knowledge.,Bertrand Russell
"We need to give each other the space to grow, to be ourselves, to exercise our diversity. We need to give each other space so that we may both give and receive such beautiful things as ideas, openness, dignity, joy, healing, and inclusion.",Max de Pree
"Our prime purpose in this life is to help others. And if you can't help them, at least don't hurt them.",Dalai Lama
"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.",Marie Curie
"The truth is you don't know what is going to happen tomorrow. Life is a crazy ride, and nothing is guaranteed.",Eminem
"I slept and dreamt that life was joy. I awoke and saw that life was service. I acted and behold, service was joy.",Rabindranath Tagore
Life is what happens while you are busy making other plans.,John Lennon
"The quality, not the longevity, of one's life is what is important.","Martin Luther King, Jr."
Life is too short for long-term grudges.,Elon Musk
He who has a why to live can bear almost any how.,Friedrich Nietzsche
We pass through this world but once.,Stephen Jay Gould
Everything in life is luck.,Donald Trump
Life is a song - sing it. Life is a game - play it. Life is a challenge - meet it. Life is a dream - realize it. Life is a sacrifice - offer it. Life is love - enjoy it.,Sai Baba
"When I stand before God at the end of my life, I would hope that I would not have a single bit of talent left, and could say, 'I used everything you gave me'.",Erma Bombeck
Life is a mirror and will reflect back to the thinker what he thinks into it.,Ernest Holmes
"Life isn't a matter of milestones, but of moments.",Rose Kennedy
"It's only when we truly know and understand that we have a limited time on earth - and that we have no way of knowing when our time is up, we will then begin to live each day to the fullest, as if it was the only one we had.",Elisabeth Kubler-Ross
You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.,Albert Camus
Nobody made a greater mistake than he who did nothing because he could do only a little.,Edmund Burke
Life itself is the most wonderful fairy tale.,Hans Christian Andersen
"You're only here for a short visit. Don't hurry, don't worry. And be sure to smell the flowers along the way.",Walter Hagen
"As a well-spent day brings happy sleep, so a life well spent brings happy death.",Leonardo da Vinci
Life is ten percent what happens to you and ninety percent how you respond to it.,Lou Holtz
Every man dies. Not every man really lives.,William Wallace
"Life is short and we have never too much time for gladdening the hearts of those who are travelling the dark journey with us. Oh be swift to love, make haste to be kind.",Henri Frederic Amiel
"Life is a tragedy when seen in close-up, but a comedy in long-shot.",Charlie Chaplin
Life is a long lesson in humility.,James M. Barrie
"Let life happen to you. Believe me: life is in the right, always.",Rainer Maria Rilke
Surprise is the greatest gift which life can grant us.,Boris Pasternak
"Life is 10 percent what you make it, and 90 percent how you take it.",Irving Berlin
The only disability in life is a bad attitude.,Scott Hamilton
Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself.,Harvey Fierstein
